Taxa,Rep,Environment,Score
L1,1,DS1,5.566272716
L1,2,DS1,5.987355488
L1,3,DS1,5.674082238
L1,1,DS2,6.20597723
L1,2,DS2,6.239069383
L1,3,DS2,5.840311925
L1,1,DS3,5.19878038
L1,2,DS3,5.802259418
L1,3,DS3,5.748780335
L10,1,DS1,2.134636894
L10,2,DS1,3.073470469
L10,3,DS1,1.15337205
L10,1,DS2,7.931982583
L10,2,DS2,7.98300253
L10,3,DS2,8.213083587
L10,1,DS3,7.260563884
L10,2,DS3,7.032227232
L10,3,DS3,7.195181469
L100,1,DS1,1.288832216
L100,2,DS1,2.084853102
L100,3,DS1,1.769533235
L100,1,DS2,4.061014371
L100,2,DS2,3.024008643
L100,3,DS2,3.585956991
L100,1,DS3,5.286679311
L100,2,DS3,5.643338229
L100,3,DS3,5.202780839
L101,1,DS1,0.276998476
L101,2,DS1,-0.146178892
L101,3,DS1,0.481531669
L101,1,DS2,3.818762043
L101,2,DS2,3.287176843
L101,3,DS2,3.980678092
L101,1,DS3,7.553296394
L101,2,DS3,8.078941161
L101,3,DS3,7.347994322
L102,1,DS1,3.652957765
L102,2,DS1,4.068858936
L102,3,DS1,4.151751087
L102,1,DS2,6.555493574
L102,2,DS2,7.4120435
L102,3,DS2,7.032624577
L102,1,DS3,5.087988017
L102,2,DS3,5.464151677
L102,3,DS3,5.434960565
L103,1,DS1,6.253110816
L103,2,DS1,6.866923441
L103,3,DS1,6.524569989
L103,1,DS2,5.091111161
L103,2,DS2,5.387770172
L103,3,DS2,5.518555283
L103,1,DS3,7.03516711
L103,2,DS3,6.994700539
L103,3,DS3,7.087035688
L104,1,DS1,4.593060683
L104,2,DS1,6.16927577
L104,3,DS1,5.057520893
L104,1,DS2,6.465954173
L104,2,DS2,6.563133609
L104,3,DS2,5.750706109
L104,1,DS3,5.644115645
L104,2,DS3,6.2814923
L104,3,DS3,6.101641171
L105,1,DS1,3.733372206
L105,2,DS1,4.393306574
L105,3,DS1,3.561151311
L105,1,DS2,7.089746318
L105,2,DS2,8.07353592
L105,3,DS2,7.280294308
L105,1,DS3,7.268480706
L105,2,DS3,7.859641049
L105,3,DS3,7.981597566
L106,1,DS1,4.373188879
L106,2,DS1,4.427826817
L106,3,DS1,5.291261282
L106,1,DS2,6.165424249
L106,2,DS2,7.385603545
L106,3,DS2,6.998470029
L106,1,DS3,3.688389813
L106,2,DS3,4.581103386
L106,3,DS3,4.410244055
L107,1,DS1,4.832639753
L107,2,DS1,5.357510667
L107,3,DS1,5.394894871
L107,1,DS2,6.823991848
L107,2,DS2,6.904283123
L107,3,DS2,6.493819709
L107,1,DS3,6.171082073
L107,2,DS3,6.429155792
L107,3,DS3,6.388854837
L108,1,DS1,1.506847603
L108,2,DS1,2.541541314
L108,3,DS1,1.990139369
L108,1,DS2,8.402271508
L108,2,DS2,9.098678646
L108,3,DS2,8.971332112
L108,1,DS3,4.532856188
L108,2,DS3,4.863100477
L108,3,DS3,4.328992697
L109,1,DS1,2.673599505
L109,2,DS1,1.799353073
L109,3,DS1,3.084017447
L109,1,DS2,7.124982015
L109,2,DS2,7.607917828
L109,3,DS2,7.340726077
L109,1,DS3,5.347309658
L109,2,DS3,5.283589822
L109,3,DS3,5.444035837
L11,1,DS1,6.028862165
L11,2,DS1,4.986065831
L11,3,DS1,4.45533441
L11,1,DS2,7.195141904
L11,2,DS2,6.971185955
L11,3,DS2,6.511596849
L11,1,DS3,7.144722091
L11,2,DS3,7.597361985
L11,3,DS3,7.350197585
L110,1,DS1,8.047203512
L110,2,DS1,6.504951067
L110,3,DS1,8.018287612
L110,1,DS2,5.821109422
L110,2,DS2,5.285124685
L110,3,DS2,4.732605844
L110,1,DS3,3.878427373
L110,2,DS3,3.781004954
L110,3,DS3,4.050051279
L111,1,DS1,-0.242582198
L111,2,DS1,0.053830521
L111,3,DS1,-0.72389095
L111,1,DS2,6.728803127
L111,2,DS2,7.719180148
L111,3,DS2,6.654208784
L111,1,DS3,6.119724882
L111,2,DS3,6.828236636
L111,3,DS3,6.931940426
L112,1,DS1,5.262003743
L112,2,DS1,4.55401166
L112,3,DS1,5.906350252
L112,1,DS2,5.005522133
L112,2,DS2,4.119423668
L112,3,DS2,4.73354861
L112,1,DS3,4.615898418
L112,2,DS3,5.10756613
L112,3,DS3,5.336243188
L113,1,DS1,7.436654662
L113,2,DS1,8.432592088
L113,3,DS1,8.305902855
L113,1,DS2,2.995511713
L113,2,DS2,3.070072906
L113,3,DS2,4.250593419
L113,1,DS3,4.598616883
L113,2,DS3,4.970649949
L113,3,DS3,4.813838597
L114,1,DS1,3.366916415
L114,2,DS1,2.142910883
L114,3,DS1,4.067585258
L114,1,DS2,4.929999492
L114,2,DS2,5.38383381
L114,3,DS2,4.722574198
L114,1,DS3,2.940250845
L114,2,DS3,3.637391017
L114,3,DS3,2.895261626
L115,1,DS1,4.209273661
L115,2,DS1,3.007621356
L115,3,DS1,3.943026979
L115,1,DS2,5.164730423
L115,2,DS2,5.142609675
L115,3,DS2,5.015491831
L115,1,DS3,5.307897419
L115,2,DS3,5.463398218
L115,3,DS3,5.173553554
L116,1,DS1,8.079317503
L116,2,DS1,7.244137291
L116,3,DS1,7.702063527
L116,1,DS2,4.839640128
L116,2,DS2,5.435484962
L116,3,DS2,5.558558928
L116,1,DS3,6.586347307
L116,2,DS3,7.007977267
L116,3,DS3,6.241364749
L117,1,DS1,2.662923393
L117,2,DS1,3.187134398
L117,3,DS1,1.507422853
L117,1,DS2,6.295642816
L117,2,DS2,6.95543712
L117,3,DS2,6.334063521
L117,1,DS3,6.776187246
