Taxa	DS1	DS2	DS3
L1	6	6	4
L2	4	6	6
L3	3	7	2
L4	3	8	8
L5	4	6	7
L6	5	9	3
L7	9	3	5
L8	7	5	6
L9	3	2	5
L10	2	8	7
L11	5	6	7
L12	5	4	4
L13	6	6	3
L14	4	4	5
L15	5	6	7
L16	4	1	4
L17	4	3	8
L18	0	2	6
L19	1	4	7
L20	4	2	5
L21	6	2	4
L22	5	7	4
L23	3	4	7
L24	2	5	4
L25	5	9	3
L26	4	6	3
L27	5	6	4
L28	7	3	1
L29	2	5	4
L30	4	7	2
L31	3	6	5
L32	7	4	2
L33	6	5	4
L34	4	6	4
L35	3	4	5
L36	2	4	3
L37	3	6	6
L38	1	5	6
L39	2	6	3
L40	5	7	4
L41	2	3	3
L42	6	7	2
L43	1	5	4
L44	2	8	6
L45	2	8	9
L46	5	7	5
L47	4	3	7
L48	4	4	6
L49	4	7	7
L50	7	3	8
L51	8	4	6
L52	3	5	7
L53	8	2	8
L54	3	6	4
L55	5	7	6
L56	2	4	5
L57	0	5	5
L58	2	7	7
L59	4	1	4
L60	3	2	6
L61	5	5	5
L62	6	7	3
L63	3	5	6
L64	4	4	4
L65	2	1	6
L66	5	0	2
L67	2	5	5
L68	2	4	4
L69	8	7	5
L70	4	6	3
L71	0	8	5
L72	2	5	7
L73	1	3	4
L74	4	7	3
L75	5	1	2
L76	5	9	3
L77	5	9	6
L78	4	5	4
L79	6	8	6
L80	2	4	5
L81	1	4	4
L82	5	5	4
L83	2	4	5
L84	8	4	7
L85	3	5	0
L86	0	7	3
L87	3	3	5
L88	7	5	5
L89	3	5	4
L90	5	3	9
L91	3	3	3
L92	7	6	5
L93	7	6	3
L94	4	6	5
L95	5	4	5
L96	0	4	6
L97	7	7	4
L98	5	5	5
L99	3	7	7
L100	2	2	4
L101	1	3	7
L102	4	7	4
L103	6	5	6
L104	5	6	6
L105	4	7	7
L106	4	7	3
L107	5	6	6
L108	2	9	4
L109	3	7	4
L110	8	4	2
L111	0	7	6
L112	5	4	4
L113	8	3	4
L114	3	4	1
L115	4	5	4
L116	8	5	6
L117	3	6	6
L118	6	2	7
L119	2	3	7
L120	7	5	2
L121	6	4	5
L122	1	4	6
L123	3	4	4
L124	2	5	5
L125	5	6	7
L126	2	7	5
L127	5	6	6
L128	3	4	4
L129	0	3	4
L130	3	2	7
L131	5	7	9
L132	3	7	6
L133	1	6	7
L134	7	3	2
L135	5	6	4
L136	6	5	7
L137	5	9	7
L138	4	4	3
L139	5	4	4
L140	4	6	6
L141	9	6	5
L142	6	2	8
L143	3	5	5
L144	6	1	7
L145	4	5	5
L146	3	3	3
L147	6	1	7
L148	3	3	5
L149	1	3	4
L150	5	6	4
L151	4	6	5
L152	6	2	8
L153	4	3	5
L154	2	6	7
L155	3	3	5
L156	5	6	5
L157	4	3	6
L158	4	4	3
L159	2	3	3
L160	5	2	5
L161	7	5	5
L162	5	3	4
L163	5	5	1
L164	8	7	7
L165	4	5	7
L166	5	4	7
L167	1	7	5
L168	3	7	5
L169	0	4	9
L170	5	5	4
L171	7	3	4
L172	4	4	7
L173	5	7	3
L174	4	6	6
L175	4	6	5
L176	2	5	6
L177	2	4	4
L178	3	5	7
L179	2	5	6
L180	4	6	5
L181	2	6	7
L182	4	5	6
L183	8	6	4
L184	4	4	6
L185	3	2	4
L186	4	9	4
L187	5	6	8
L188	1	2	6
L189	4	4	6
L190	5	5	3
L191	9	4	4
L192	6	5	4
L193	3	4	5
L194	2	0	3
L195	2	5	5
L196	5	4	5
L197	6	4	4
L198	6	4	5
L199	7	5	5
L200	5	3	5
L201	5	2	5
L202	5	7	4
L203	7	5	5
L204	4	3	4
L205	3	3	5
L206	1	4	2
L207	3	4	3
L208	5	3	7
L209	7	5	4
L210	4	4	7
L211	6	6	6
L212	4	6	8
L213	5	7	8
L214	4	2	3
L215	3	5	7
L216	3	5	6
L217	2	9	5
L218	0	4	4
L219	6	6	8
L220	2	3	7
L221	4	3	4
L222	2	6	8
L223	5	3	5
L224	4	6	4
L225	6	6	7
L226	3	2	5
L227	4	4	7
L228	0	3	2
L229	2	2	9
L230	1	5	5
L231	6	4	9
L232	2	3	4
L233	5	6	5
L234	5	2	5
L235	4	5	4
L236	2	4	4
L237	2	2	4
L238	5	6	5
L239	4	6	9
L240	4	7	5
L241	2	3	6
L242	4	3	7
L243	5	4	5
L244	5	5	6
L245	5	1	5
L246	4	4	6
L247	1	3	4
L248	5	3	6
L249	5	4	5
L250	2	2	7
L251	0	3	4
L252	3	3	4
L253	5	4	2
L254	7	5	5
L255	7	3	5
L256	4	1	5
L257	7	2	5
L258	9	6	7
L259	2	1	2
L260	2	5	8
L261	5	1	3
L262	2	4	6
L263	5	4	3
L264	2	4	5
L265	6	3	5
L266	3	3	4
L267	4	4	7
L268	4	3	5
L269	6	2	4
L270	1	3	6
L271	3	4	5
L272	0	3	6
L273	2	4	8
L274	9	4	5
L275	7	5	6
L276	3	3	9
L277	4	6	6
L278	5	0	5
L279	3	7	2
L280	2	4	3
L281	4	1	5
L282	4	4	7
L283	4	1	4
L284	6	4	6
L285	6	5	4
L286	0	4	5
